,Gen_Loss,Dis_Loss
119,21001482.0,6.860288984875008e+16
120,21189976.0,2800706297790464.0
121,20677042.0,3.659572840706867e+16
122,20909724.0,1.6597250427846656e+16
123,19920814.0,1.2980267341840384e+17
124,21520192.0,1.6073387898044416e+16
125,21701774.0,1.4777969540448911e+18
126,21145750.0,6.175404480423526e+16
127,21238356.0,1.184677187123413e+18
128,20595882.0,4.099081568570573e+16
129,20557160.0,2.189406823776256e+16
130,22029996.0,6.469604586238771e+16
131,21707176.0,3.810112303425126e+16
132,21633088.0,1.7926846460146483e+17
133,21796884.0,6923612908945408.0
134,19222732.0,1.1455899696627712e+16
135,20233008.0,3.457658267684045e+16
136,19436008.0,2.0128431234193818e+17
137,21822476.0,2.5165682266079232e+17
138,21253934.0,2.780490960470016e+16
139,21949202.0,1.2153194079584256e+16
140,21684656.0,1.0795065291046912e+16
141,21685130.0,1.4969537279557632e+16
142,21793966.0,1.506493601939456e+16
143,20258608.0,1.1646806697967616e+16
144,21575414.0,3.774759998115021e+16
145,21795508.0,1.953843758969651e+16
146,20036026.0,2.131977510391382e+18
147,21974292.0,3.980977698871706e+16
148,20828066.0,1.293586081597358e+17
149,22268988.0,6312080432955392.0
150,22008046.0,9699698306711552.0
151,21818444.0,1.2532649071476736e+16
152,21953488.0,5.706388038746112e+16
153,20589800.0,1.998548140818432e+16
154,21839146.0,4427355367931904.0
155,22017438.0,8.505786218347233e+18
156,22297134.0,5.538475089718149e+17
157,22239492.0,7.583502808268145e+17
158,22443468.0,1.963869286380339e+16
159,22669568.0,3.84410267460567e+16
160,22782508.0,6.313017809567744e+16
161,22559504.0,4.067008041294234e+16
162,22184666.0,1.1273468813246464e+17
163,22829878.0,5.45293385817129e+16
164,21141016.0,4.842749142918758e+16
165,22170882.0,5.6404736910504755e+17
166,22197072.0,2.0188111522758656e+16
167,22965836.0,6126133045100544.0
168,23023244.0,7.299087325147955e+16
169,22478090.0,4.094318449839309e+16
170,23174394.0,7727986195300352.0
171,22832818.0,1.0248023415453647e+19
172,22522048.0,9872229290475520.0
173,23509666.0,2.556550291914752e+16
174,21610484.0,6.320058807154115e+17
175,22962368.0,2.086473852308685e+16
176,23006620.0,5.241319531007181e+16
177,23226854.0,2.60433931927552e+16
178,22546876.0,4.914469513304474e+16
179,23392938.0,1.0278880015286272e+16
180,12193732.0,6.602781729562296e+17
181,23431368.0,3007655270416384.0
182,22194674.0,8.273654918309478e+16
183,23460044.0,4.197162644332872e+17
184,22824986.0,2.506274263741235e+16
185,23457688.0,1.431092009071385e+19
186,23296302.0,4.971238243539354e+16
187,22612122.0,8596103238778880.0
188,22218978.0,2.83045860999168e+16
189,23915242.0,278693129748480.0
190,23145114.0,2.504721633063731e+16
191,21568980.0,1.9081096587116544e+17
192,21713594.0,8.368039401619456e+16
193,23680648.0,4.5443172917261107e+18
194,23400102.0,1.200618422098985e+17
195,23726926.0,1.0140636829188096e+17
196,22587814.0,6.692991848257946e+17
197,21269858.0,7.228573411075686e+16
198,22272938.0,1.3484513682259968e+16
199,22681604.0,1.216013646472151e+17
200,23533014.0,9.893470910231347e+16
201,23417346.0,2.505181237514076e+17
